doc_id,x_tsne,y_tsne,Topic
582,-10.010385,-19.37435,-1
583,-10.792456,-21.860563,-1
584,-11.759325,-18.180946,-1
585,-18.157621,-13.088653,0
586,-13.562999,-20.255938,0
587,-17.249031,-13.910485,0
588,3.55147,-18.807108,-1
589,-39.29393,-19.358376,0
590,-9.052306,-20.081024,-1
591,-38.93842,-18.848026,0
592,-17.458004,-17.39466,0
593,-26.718103,-30.824665,-1
594,-15.9246435,-69.9667,0
595,-17.99188,60.67117,1
596,-25.506618,-21.961899,0
597,2.8340008,10.076567,-1
598,-4.630255,-19.369946,0
599,5.8094864,-18.042496,-1
600,-9.268296,-29.401308,0
601,-16.794134,-30.319365,0
602,-15.686451,28.216473,-1
603,7.2408004,-17.083395,-1
604,-15.16359,28.045084,-1
605,-42.181156,4.5626326,0
606,-12.418632,-16.104158,-1
607,-16.65696,-69.64107,0
608,-17.23612,-20.029291,0
609,-20.11326,10.2624655,0
610,-32.65247,-13.060646,0
611,-23.032629,-30.596533,0
612,-32.742973,-13.125004,0
613,-10.655624,-20.13933,-1
614,-15.663802,-20.42211,0
615,-7.5130873,39.640385,1
616,-18.84811,-3.1442184,0
617,4.3143973,-33.198425,-1
618,-7.75203,48.901287,-1
619,-41.187637,-20.276735,-1
620,-29.543406,-20.939322,0
621,-14.006754,-29.856897,0
622,-20.29562,12.216805,-1
623,-25.421162,33.759224,0
624,-54.22486,4.6263576,-1
625,0.78963614,6.2718673,0
626,-14.3714075,-12.739138,-1
627,-26.54736,27.186834,0
628,44.588295,2.9891615,0
629,-25.401192,30.419197,0
630,-3.58476,-15.166748,-1
631,-22.739674,23.212349,0
632,-3.5722895,-14.066159,0
633,-23.279184,30.756622,0
634,-5.4348063,-12.770031,-1
635,-6.7785573,-13.782021,-1
636,-5.5207996,-40.487976,0
637,46.694077,5.473323,0
638,-7.4639435,-16.1198,-1
639,-17.416882,-8.643151,0
640,-22.12989,22.748844,0
641,34.175957,10.217988,0
642,-11.313143,-16.182848,-1
643,9.312608,-52.436474,0
644,50.43039,25.06309,0
645,-7.3982344,38.28495,-1
646,-9.648196,-9.878388,-1
647,-12.043832,2.0553,-1
648,24.457981,-2.5626981,-1
649,1.5768152,-13.367744,0
650,3.80923,10.259216,0
651,24.116756,-3.092528,0
652,3.4595509,-11.742129,0
653,-24.772263,-18.359661,0
654,-10.603317,-15.173586,-1
655,8.01411,5.5985746,0
656,22.619293,18.23171,0
657,-46.442554,-31.810276,2
658,-47.50762,-32.84257,2
659,-19.189648,-21.662825,0
660,-37.49104,42.171467,-1
661,-47.50762,-32.84257,2
662,-23.487465,-18.74279,0
663,-23.279915,-25.250986,0
664,17.483002,-35.505943,-1
665,-10.062351,42.137615,-1
666,-50.02534,-33.277126,2
667,-48.999046,-33.510838,2
668,17.285553,-33.32414,-1
669,-16.91674,4.0316067,0
670,-29.229923,-30.957214,2
671,-40.11116,-16.667263,0
672,-24.630215,-35.00593,-1
673,-24.501978,27.069685,0
674,28.807085,-65.24652,0
675,10.109547,-59.700138,0
676,5.758984,-42.037735,0
677,-5.926219,-59.022385,0
678,4.7028966,-14.016749,0
679,6.255775,-13.125338,0
680,9.328094,-13.025899,0
681,-33.127693,-25.706625,0
682,48.657665,-18.879229,0
683,-50.24427,46.110294,4
684,18.842377,-3.3867426,-1
685,-29.99128,24.231926,-1
686,-30.99983,25.41493,-1
687,22.183317,-3.3604107,0
688,-18.179691,-43.570652,0
689,42.341763,-33.016357,0
690,-52.918926,19.198957,0
691,39.73653,23.025015,0
692,25.929394,-5.429909,0
693,-48.123024,-31.241018,2
694,6.6897206,19.799122,-1
695,-28.519133,40.302837,1
696,15.149822,-6.787156,-1
697,-18.153141,65.82771,1
698,-56.769398,23.750713,0
699,42.041523,5.484544,0
700,-16.995777,14.689131,-1
701,10.010009,-50.923653,0
702,-48.694916,-32.193615,2
703,-42.414707,9.89205,0
704,-51.11566,-32.279346,2
705,-3.3732939,59.748547,1
706,-54.149483,21.784365,0
707,-38.14562,4.7013354,0
708,-53.012943,17.827957,0
709,16.610476,-24.791397,0
